Postcode,Installation_2001,Output_2001,Installation_2002,Output_2002,Installation_2003,Output_2003,Installation_2004,Output_2004,Installation_2005,Output_2005,Installation_2006,Output_2006,Installation_2007,Output_2007,Installation_2008,Output_2008,Installation_2009,Output_2009,Installation_2010,Output_2010,Installation_2011,Output_2011,Installation_2012,Output_2012,Installation_2013,Output_2013,Installation_2014,Output_2014,Installation_2015,Output_2015,Installation_2016,Output_2016,Installation_2017,Output_2017,Installation_2018,Output_2018,Installation_2019,Output_2019,Installation_2020,Output_2020,Installation_2021,Output_2021,Installation_Total,Output_Total
3594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11.1,26,64.825,13,48.105,11,47,2,12,4,18.5,8,40.315,6,39.545,16,82.14,12,95.46,12,89.385,2,40.68,118,589.055
3595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11.24,25,72.93,25,75.22,9,38.845,6,32,12,41.82,14,57.2,6,27.88,12,60.375,8,58.705,5,30.42,0,0,126,506.635
3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,6,1,5,2,109.25,1,3,1,5.2,1,59.94,0,0,0,0,4,118.8,1,6.6,13,315.79
3597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.002,0,0,1,2.1,1,4.94,15,60.5,2,55,0,0,6,47.36,11,50.2,2,9.225,4,39.6,6,137.71,8,243.23,3,117.18,60,768.047
3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27.56,2,3.08,3,13,3,23,2,6,0,0,0,0,1,93.6,6,136.12,1,99.825,0,0,26,402.185
3607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.1,4,13.265,3,11.93,0,0,2,7.5,4,16.5,2,102.28,2,16.47,3,111.36,0,0,2,105.6,0,0,23,387.005
3608,0,0,0,0,0,0,0,0,1,1.44,0,0,1,0.66,1,0.16,10,14.515,25,45.31,65,149.67,61,193.005,22,103.21,48,184.455,39,169.065,25,223.645,57,278.83,48,351.5,51,312.19,65,596.395,23,171.01,542,2795.06
3610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.232,33,35.96,20,33.93,27,66.49,34,114.657,18,83.525,20,78.07,23,102.5,23,112.645,25,302.96,26,292.265,25,387.545,28,157.12,20,100.67,326,1872.569
3612,0,0,0,0,0,0,1,0.56,1,0.315,0,0,2,1.095,0,0,24,25.92,40,52.504,37,72.85,33,136.33,25,103.73,24,89.225,29,129.966,26,119.545,23,102.42,26,201.16,25,154.39,45,371.18,15,104.2,376,1665.39
3614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.67,16,17.28,17,27.71,17,48.13,18,76.74,11,71.02,17,101.56,8,43.4,11,71.42,19,235.62,21,182.82,13,82.065,24,196.875,10,102.375,203,1258.685
3616,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,2,7.06,53,63.71,61,91.27,91,220.431,87,310.185,54,203.27,77,335.904,37,188.61,49,224.455,55,420.545,93,847.79,79,772.325,114,1071.89,36,426.88,889,5185.725
3617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.16,2,3.68,2,6.46,3,19.51,2,7,1,3,3,13,2,7.04,2,14.855,1,8.64,3,79.505,1,12.99,1,6.66,25,184.5
3618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.17,5,6.66,11,20.305,14,42.36,13,62.6,10,36.13,14,55.475,9,63.92,6,41.265,12,149.815,18,267.685,17,286.11,6,104.04,138,1140.535
3619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.05,3,3.06,5,7.56,14,30.205,9,42.2,11,47.14,8,35.54,8,34,11,128.62,2,7.2,3,16.88,5,39.08,3,19.775,0,0,83,412.31
3620,0,0,0,0,0,0,0,0,0,0,0,0,3,5.82,5,5.25,109,114.62,87,151.39,141,295.735,181,642.07,101,457.145,67,285.162,75,735.46,73,528.24,82,604.36,81,870.65,133,1205.5,205,1715.025,44,353.385,1387,7969.812
3621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.65,37,41.76,19,34.37,37,100.15,68,266.265,26,157.21,20,109.99,31,164.395,27,151.22,29,229.13,27,254.79,33,356.155,37,565.715,10,60.81,402,2493.61
3622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.13,10,31.17,9,43.89,10,48.5,6,28,8,51.58,3,16.42,6,69.12,4,68.94,6,113.755,10,96.47,4,48.89,78,618.865
3623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8.55,15,19.72,12,29.1,25,109.5,13,54.4,10,38.5,12,52.49,13,56.47,17,292.15,12,69.15,9,82.81,17,134.705,9,94.21,172,1041.755
3624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6.24,5,5.81,7,20.405,7,23.24,5,16.64,15,70.64,12,56,7,76.595,11,99.82,8,137.965,21,212.12,6,44.49,2,13.32,112,783.285
3629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.97,71,81.009,111,166.77,139,296.495,151,496.585,72,255.59,93,468.655,57,396.69,74,413.95,73,542.125,125,1076.15,102,1022.645,139,1200.635,31,200.455,1239,6620.724
3630,0,0,0,0,1,1.2,0,0,1,0.14,0,0,0,0,3,3.975,159,172.972,242,370.819,411,888.75,418,1342.791,229,1119.93,227,1453.805,178,1135.94,200,1088.755,220,1733.46,316,2108.61,354,2984.402,531,4234.065,152,974.555,3642,19614.169
3631,0,0,0,0,0,0,0,0,0,0,0,0,3,10.54,2,5.456,83,91.01,151,231.464,216,601.163,206,866.08,118,503.84,104,489.66,77,398.905,133,1062.005,143,1138.355,224,1921.735,262,2411.97,390,3197.51,120,1128.675,2232,14058.368
