Postcode,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW
5270,0,0,1,6.6,0,0,1,6.6,1,1.48
5271,6,60.875,16,149.98,11,94.8,10,92.33,7,72.76
5272,2,9.81,2,16.56,1,4.95,2,26.58,0,0
5273,0,0,0,0,0,0,0,0,0,0
5275,0,0,3,60.3,6,64.34,4,36.09,2,12.21
5276,1,6.66,3,42.34,3,19.86,3,39.66,0,0
5277,2,17.02,4,29.7,7,59.33,3,43.2,3,19.92
5278,0,0,2,64.68,1,6.29,0,0,0,0
5279,0,0,1,10.56,1,2.97,0,0,0,0
5280,6,43.725,10,60.57,21,155.47,9,66.05,5,43.58
5290,19,180.39,35,266.37,38,259.425,18,132.86,10,87.07
5291,7,52.545,15,153.51,17,159.69,4,41.82,6,46.19
5301,0,0,1,6.66,2,13.32,2,13.32,0,0
5302,1,6.66,0,0,0,0,3,19.98,0,0
5303,0,0,0,0,1,31.68,0,0,0,0
5304,0,0,1,6.6,1,6.6,0,0,2,14.06
5306,0,0,0,0,0,0,1,7.4,0,0
5307,0,0,0,0,0,0,1,6.66,0,0
5308,0,0,0,0,0,0,0,0,0,0
5309,0,0,0,0,2,23.1,0,0,0,0
5310,0,0,0,0,0,0,0,0,0,0
5311,0,0,0,0,0,0,0,0,0,0
5312,0,0,0,0,0,0,0,0,0,0
5320,2,12.52,1,5.92,7,49.77,3,71.28,3,15.72
5321,0,0,1,6.66,1,6.66,1,6.6,0,0
5322,1,10.36,3,26.86,3,17.16,0,0,1,12.21
5330,3,92.67,5,43.14,1,6.6,2,16.65,0,0
5331,2,46.62,2,9.24,0,0,1,19.98,0,0
5332,0,0,1,6.6,0,0,0,0,1,6.66
5333,2,13.32,10,76.05,7,164.61,3,26.46,1,19.98
5340,1,13.3,4,22.2,1,16.28,2,16.65,2,26.64
5341,16,215.68,16,119.38,13,185.74,11,113.55,2,17.22
5342,2,42.36,0,0,3,27.69,3,26.52,0,0
5343,6,62.4,12,109.76,6,134.37,5,39.9,2,16.28
5344,1,6.65,2,13.275,2,22.94,0,0,1,6.6
5345,3,19.98,2,13.26,8,59.3,3,37.56,4,26.58
5346,0,0,2,8.64,2,13.32,1,6.66,2,13.26
5350,2,17.49,2,31.53,1,9.62,1,10.73,0,0
5351,10,72.23,7,44.08,13,103.69,7,75.73,2,15.24
5352,4,23.335,7,63.58,7,78.31,10,82.08,1,18.04
5353,6,46.44,10,81.62,5,37.73,3,25.53,5,36.57
5354,1,10.56,0,0,0,0,1,9.99,0,0
5355,10,85,14,100.07,12,105.89,10,92.19,4,30.28
5356,0,0,1,6.66,2,21.02,0,0,0,0
5357,3,18.54,0,0,0,0,1,6.66,0,0
5360,4,33.89,1,6.6,3,27.12,3,29.7,0,0
5371,2,17.39,4,28.71,2,19.86,1,10.53,0,0
5372,3,18.87,4,44.19,2,110.02,5,36.14,2,17.39
5373,1,6.6,6,48.16,3,44.8,3,33.52,2,13.26
5374,2,19.8,6,41.63,2,19.96,5,46.35,2,15.17
5381,0,0,0,0,0,0,0,0,0,0
5400,5,33.08,1,10.4,2,16.41,2,20.79,2,18.44
5401,0,0,0,0,1,6.66,0,0,0,0
5410,0,0,1,6.66,1,10.73,1,6.66,0,0
5411,1,6.66,0,0,0,0,1,6.66,0,0
5412,0,0,0,0,3,19.86,4,32.12,0,0
5413,1,5.94,1,6.6,0,0,2,19.98,0,0
5414,0,0,0,0,0,0,0,0,0,0
5415,1,19.98,2,25.96,0,0,1,3.3,1,9.99
5416,0,0,1,6.66,0,0,0,0,0,0
5417,0,0,3,19.97,2,13.32,0,0,0,0
5418,1,6.66,0,0,0,0,0,0,0,0
5419,0,0,0,0,2,13.32,0,0,0,0
5420,0,0,0,0,1,10.56,0,0,0,0
5421,0,0,0,0,1,5.94,0,0,0,0
5422,0,0,3,20.06,2,12.95,2,18.15,2,13.32
5431,2,19.97,0,0,0,0,3,29.97,1,15.84
5432,1,6.6,0,0,1,6.66,0,0,1,6.545
5433,0,0,1,5.92,2,16.45,2,11.41,0,0
5434,0,0,2,16.74,0,0,1,5.55,0,0
5440,0,0,0,0,0,0,0,0,0,0
5451,1,6.66,2,13.32,0,0,2,13.32,1,10.36
5452,0,0,0,0,0,0,0,0,0,0
5453,5,35.42,10,100.99,5,32.65,5,44.26,3,19.86
5454,1,6.66,1,6.6,1,6.66,0,0,0,0
5455,0,0,0,0,0,0,0,0,0,0
5460,0,0,0,0,0,0,1,17.6,2,9.62
5461,3,31.07,1,6.66,10,71.41,2,14.43,2,17.76
5462,1,6.66,3,18.455,2,12.08,1,6.66,0,0
5464,0,0,4,30.22,1,6.6,1,6.29,0,0
5470,0,0,0,0,1,10.36,0,0,0,0
5471,0,0,0,0,0,0,1,6.6,0,0
5472,0,0,1,9.9,0,0,0,0,0,0
5473,1,6.6,1,8.25,1,6.6,0,0,0,0
5480,1,6.6,0,0,2,13.26,0,0,1,6.6
5481,0,0,2,12.58,2,13.26,1,1.375,0,0
